name;Число избирателей, внесенных в список избирателей на момент окончания голосования;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных в помещении для голосования в день голосования;Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования;Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число открепительных удостоверений, полученных участковой избирательной комиссией;Число открепительных удостоверений, выданных на избирательном участке до дня голосования;Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке;Число погашенных неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией;Число утраченных открепительных удостоверений;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении;Бриних Валерий Александрович;Гукасян Сергей Георгиевич;Коновалова Нина Николаевна;Лобода Александр Павлович;Огиенко Денис Сергеевич;Резник Владислав Матусович;Салов Евгений Иванович
Иркутская область – Шелеховский;494432;476949;0;161230;10462;305256;10462;161156;6482;165136;10338;3941;2140;6397;585;0;1;0;4766;3543;20033;1888;12089;1651;6602;5074;610;1442;31494;72660;3284
Иркутская область – Братский;464053;459251;772;140896;6637;310946;7405;140816;9127;139094;9612;3689;2040;5923;483;0;0;0;35268;3279;4294;3891;21949;3774;5230;61409
Курганская область – Курганский;718985;686382;0;267981;31979;386422;31979;267896;7933;291942;13937;9761;4608;4176;1456;0;0;0;174909;21707;44893;6302;4004;5022;4010;3907;27188
Калининградская область – Центральный;417754;378873;2;175031;5424;198409;5424;174363;11184;168603;3757;1877;1674;1880;802;0;7;0;6483;18101;2740;19883;7957;18965;7614;73322;13538
Калужская область – Обнинский;402644;408054;242;160757;16913;230142;16911;160835;6165;171581;13717;9272;2513;4445;1685;0;0;0;7419;23291;6325;34007;6611;80615;13313
Московская область – Подольский;507248;444000;0;180711;5610;257677;5609;180101;8507;177203;8557;4466;3041;4091;1965;0;2;0;10217;7411;10972;12616;2421;13342;22049;98175
Кемеровская область – Кемеровский;506371;497974;16;405035;26651;66272;26667;404755;2922;428500;12703;6523;1680;6180;302;0;0;0;307128;5559;25776;4389;85648
Липецкая область – Левобережный;466707;432059;0;220224;37346;174486;37346;220203;7076;250473;4731;2550;1050;2181;398;0;3;0;26330;6347;154786;34283;7665;21062
Кировская область – Кировский;527414;502081;54;194895;18663;288469;18715;194750;12534;200931;13813;5034;2517;8779;653;0;0;0;109333;14404;27346;28764;7912;5710;7462
Кировская область – Кирово-Чепецкий;553218;535330;0;216865;19481;298984;19480;216685;10703;225462;13337;5955;2681;7381;1006;1;0;0;4574;95499;45069;4880;28670;3116;30529;4666;8459
